Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
3989,31,0,31,43945G,Robo Indians,SOUTHERN LOCAL ELEMENTARY SCHOOL,Ohio
3990,31,0,31,13680B,Mystic Marooners,Pooles Mill Elementary,Georgia
3991,31,0,31,76129C,MRE Bots,Maple Ridge Elementary School,Indiana - Region 2 - Central
3992,31,0,31,7901A,Sageland Terrenators,SAGELAND ELEMENTARY SCHOOL,Texas - Region 1
3993,31,0,31,3379M,The Alpha Wolves,Private,California - South
3994,31,0,31,1729E,Egregiously Excellent,International Robotics Academy,Kazakhstan
3995,31,0,31,60011A,TacoBotz,BRIGGS PUBLIC SCHOOL,Oklahoma
3996,31,0,31,99535A,Collegium Robotics: A,COLLEGIUM CS,Pennsylvania - East
3997,31,0,31,84522A,Robokids 1,TGG School by LCA,Japan
3998,31,0,31,392W,Indians ,DAHLONEGAH PUBLIC SCHOOL,Oklahoma
3999,31,0,31,37452M,The Happy Elephants,THE GREENE SCHOOL,Florida - South
4000,31,0,31,11036C,Ghostys,POWDERSVILLE ELEMENTARY,South Carolina
4001,31,0,31,46742B,46742B,HAMILTON COMMUNITY ELEMENTARY SCH,Indiana - Region 1 - North
4002,30,0,30,30077C,RoboTribe 3,Biloxi Upper Elementary,Mississippi
4003,30,0,30,60959A,Livingston Robotics,Livingston Elementary School,Georgia
4004,30,6,24,58312E,Midnight Tigers,DESERT RIDGE MIDDLE,New Mexico
4005,30,6,24,86500B,Bionic Shrimp,Dixon Elementary,Alabama
4006,30,6,24,90249B,Wild Robots,WARD (E. W.) ELEMENTARY,California - South
4007,30,4,26,39071D,Golden Falcons,EAST FLORA ELEMENTARY,Mississippi
4008,30,4,26,22386B,Four on Fire,COLD SPRING ELEMENTARY,Minnesota
4009,30,2,28,85094A,Robo Go-Go Squeeeze,Salem Elementary School,Arkansas
4010,30,2,28,3708A,Techno Sharks 2.0,Victoria Shanghai Academy,Hong Kong
4011,30,2,28,30410K,Chicken Jockey,St. Johnsbury Academy Jeju,South Korea
4012,30,2,28,53065B,The Architects,MT. STUART ELEMENTARY,Washington
4013,30,2,28,95887A,St. Conaire's,St. Conaire's N.S.,Ireland
4014,30,2,28,73507A,Hugo Jules Elyas,nooby.tech,Belgium
4015,30,0,30,91362C,The Snack Attack 5,WESTCHESTER INTERMEDIATE SCHOOL,Indiana - Region 1 - North
4016,30,0,30,23418C,RED BISONS Adventure,RED BISONS,Japan
4017,30,2,28,8396A,// Caution Tape Dunkin'donuts//,Caution Tape Newmarket ////,Ontario
4018,30,2,28,68505B,Flying Marshmallows,NIWOT ELEMENTARY SCHOOL,Colorado
4019,30,2,28,43920H,Potterbots: The Amazing Mangos,WESTGATE MIDDLE SCHOOL,Ohio
4020,30,2,28,33899B,WildStars,Winston Park K-8 Center,Florida - South
4021,30,2,28,41047A,Techno Masters,MOUNTAIN VIEW SCHOOL,Utah
4022,30,2,28,2601D,Robo-Cats D,Watson Technology Center,Texas - Region 5
4023,30,2,28,9464B,Cowboy Robotics,HICKORY RIDGE ELEMENTARY,North Carolina
4024,30,2,28,164B,Tankers,West Weber School,Utah
4025,30,0,30,11561R,Gilkey Stacker Bots,GILKEY ELEMENTARY SCHOOL,Michigan
4026,30,0,30,16104A,The Croominators,St. Mary's N.S.,Ireland
4027,30,0,30,90027A,Franklin Foxes A,FRANKLIN AVENUE ELEMENTARY,California - South
4028,30,0,30,651D,The Joker 1,BRADEN RIVER ELEMENTARY SCHOOL,Florida - North/Central
4029,30,0,30,4270W,Elementary Crusaders W,ST LOUIS SCHOOL,Hawaii
4030,30,0,30,52551D,Jackson Battle Bots,Jackson Elementary School,Indiana - Region 1 - North
4031,30,0,30,3644R,Robo Avengers Team A,Robo Avengers Team A,Virginia
4032,30,0,30,19702C,Cybernetics,JIMENEZ ROBERTO AND DR. FRANCISCO ELEMENTARY,California - South
4033,30,0,30,45308B,Shotley Swords,Shotley Bridge Primary School,United Kingdom
4034,30,0,30,93926A,Vena Elementary A,Vena Avenue Elementary School,California - South
4035,30,0,30,83723A,Montague's Red Rovers,MONTAGUE CHARTER ACADEMY,California - South
4036,30,0,30,5111B,The Olmos Night Owls,OLMOS ELEMENTARY SCHOOL,Texas - Region 4
4037,30,0,30,39465E,Apex Titans,Petal Upper Elementary School,Mississippi
4038,30,0,30,4613W,4613W,Barker College - K-12 School,Australia
4039,30,0,30,11150B,John Ruhrah Robotics,JOHN RUHRAH ELEMENTARY/MIDDLE,Maryland
4040,30,0,30,12800C,Presa Wildcats Team C,PRESA ELEMENTARY SCHOOL,Texas - Region 1
4041,30,0,30,68046D,Botzilla,St. Columbkille Catholic School,Nebraska
4042,30,0,30,17366D,Čapek Team,Colegio Cervantes,Paraguay
4043,30,0,30,13624A,Olympus,Espacio I Maker Space,Paraguay
4044,30,0,30,85036E,Raging Raptors,FALL RIVER ELEMENTARY SCHOOL,Colorado
4045,30,0,30,25552C,Robotic Huskies,HAW CREEK ELEMENTARY,Georgia
4046,30,0,30,1260A,Robotic Ducks,BLUE MOUNTAIN ELEMENTARY,Colorado
4047,30,0,30,87453B,Teletubbies,Heather Glen MONTCLAIR ELEMENTARY SCHOOL,Texas - Region 5
4048,30,0,30,68689W,Robowolves,BP STEM ACADEMY,California - South
4049,30,0,30,43350F,Spicy Ducks,EAST WASHINGTON MIDDLE SCHOOL,Indiana - Region 3 - South
4050,30,0,30,811A,Greene,P H GREENE ELEMENTARY SCHOOL,Texas - Region 3
4051,30,0,30,99303F,Cyber Hawks,Chadwick International,South Korea
4052,30,0,30,84401A,Robros,MARTHA & JOSH MORRISS MATH & ENGINEERING ELEMENTARY SCHOOL,Texas - Region 2
4053,30,0,30,49958C,Science Girls,HEALTH/WELLNESS ENVI MAGNET,Arkansas
4054,30,0,30,7340B,Pocket Raboon,Harmony School of Excellence-NorthCampus,Texas - Region 3
4055,30,0,30,24977C,Red Hill Team C,RED HILL ELEMENTARY,California - South
4056,30,0,30,34362J,Banana Splits,ST JOSEPH SCHOOL,Wisconsin
4057,30,0,30,22072C,TechnicaLEE Bots,FRANCES AND JEANNETTE LEE ELEMENTARY SCHOOL,Texas - Region 2
4058,30,0,30,75421A,Cooneal National School,Cooneal National School,Ireland
4059,30,0,30,2073B,Gear Grinders,ANNE WATSON ELEMENTARY SCHOOL,Arkansas
4060,30,0,30,72397A,Chestatee Eaglebots 1,CHESTATEE ELEMENTARY,Georgia
4061,30,0,30,92016A,Langford Leopards Robo Team,LANGFORD ELEMENTARY SCHOOL,Texas - Region 4
4062,30,0,30,36402E,Lightningbots,HARRISON HILL ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4063,30,0,30,36092A,WES Robo Warriors,WETUMPKA ELEMENTARY SCHOOL,Alabama
4064,30,0,30,65016M,Buzz Bots,Welby Way Elementary School,California - South
4065,30,0,30,94645E,Mega Knights,LIBERTY INTERMEDIATE SCHOOL,Indiana - Region 1 - North
4066,30,0,30,52836A,Clarecastle NS,Clarecastle National School ,Ireland
4067,30,0,30,16863Z,ASP Best IQ,American STEM Prep,South Korea
4068,30,0,30,39562B,tECH Jr,East Central Upper Elementary,Mississippi
4069,30,0,30,3703D,The Nerdz,Mountain Brook Machines-MBE,Alabama
4070,30,0,30,2005E,Voltagetron,ALPINE ELEMENTARY SCHOOL,Colorado
4071,30,0,30,68751A,Cheesy Chez Burgers,SAND SPRINGS SCHOOL,Utah
4072,30,0,30,15832A,VikingBots Black,Sacred Heart Elementary School,Indiana - Region 1 - North
4073,30,0,30,11893D,RoboFinns,LAKE STREET ELEMENTARY SCHOOL,Indiana - Region 1 - North
4074,30,0,30,56445B,Ninja Turtles,Pike County Schools - Center for Advanced Academics & Accelerated Learning,Alabama
4075,30,0,30,46250E,Allisonville Robotics Team 5,ALLISONVILLE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4076,30,0,30,1506Y,Legendary Panthers,Pact Charter School,Minnesota
4077,30,0,30,19977U,Smyrna Robotics Team,Smyrna Robotics Club,Delmarva
4078,30,0,30,31574B,Golden Knights,Montgomery Catholic Preparatory School St. Bede Campus,Alabama
4079,30,0,30,4916B,The Cool Kids,MARIPOSA ELEMENTARY,California - South
4080,30,0,30,5527F,BrainStormers,FLINT CULTURAL CENTER ACADEMY,Michigan
4081,30,0,30,31574A,Nuts and Volts,Montgomery Catholic Preparatory School St. Bede Campus,Alabama
4082,30,0,30,63670C,Mechanical Masters,STE. GENEVIEVE ELEMENTARY SCHOOL.,Missouri
4083,30,0,30,17804B,Battle Bots,WESTWIND ELEMENTARY SCHOOL,Arizona
4084,30,0,30,295C,The Bro-bots,Placer Robotics (PART),California - North
4085,30,0,30,42024B,The Iron legion,STEM Academy,California - South
4086,30,0,30,15174A,Stewert Blue Stars,IDA M. STEWART ELEMENTARY SCHOOL,Florida - North/Central
4087,30,0,30,55176B,Mohawk Trails Elementary Robotics Team B,Mohawk Trails Elementary,Indiana - Region 2 - Central
4088,30,0,30,5300B,5300B,HUDSONVILLE CHRISTIAN SCHOOL,Michigan
4089,30,0,30,63670B,Robo Rockstars,STE. GENEVIEVE ELEMENTARY SCHOOL.,Missouri
4090,30,0,30,1407A,Superbot,JENNIE WILSON ELEMENTARY SCHOOL,Kansas
4091,30,0,30,61026G,Twining Giants,NATHAN TWINING ELEMENTARY SCHOOL,North Dakota
4092,30,0,30,37727C,Bear Bots C,BULLOCK ELEMENTARY SCHOOL,Texas - Region 5
4093,30,0,30,63165C,Screaming Eagles,KRAFT MEADOWS INTERMEDIATE SCHOOL,Michigan
4094,30,0,30,8856D,Bot To The Future,Hudsonville 5/6 Building,Michigan
4095,30,0,30,63165R,Red Mario,KRAFT MEADOWS INTERMEDIATE SCHOOL,Michigan
4096,30,0,30,20823C,Clear View Robotics T3,Clear View Elementary ,California - South
4097,30,0,30,3081C,Lincoln Eagles,LINCOLN ELEMENTARY SCHOOL,Indiana - Region 1 - North
4098,30,0,30,81239D,Code Cats,WINCHESTER VILLAGE ELEMENTARY,Indiana - Region 2 - Central
4099,30,0,30,3698W,Blaze,HOLY CROSS LUTHERAN SCHOOL,Indiana - Region 3 - South
4100,30,0,30,42354C,Southside VEX-stangs,SOUTHSIDE ELEMENTARY SCHOOL,Indiana - Region 3 - South
4101,30,0,30,34598B,Cavbots Blue,TRI-COUNTY INTERMEDIATE SCHOOL,Indiana - Region 1 - North
4102,30,0,30,24528B,HRE Rock-It Robots,HOOSIER ROAD ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4103,30,0,30,84598A,Fantastic Four,SUNSET ELEMENTARY SCHOOL,Colorado
4104,30,0,30,85407R,Red Robots,UINTAH SCHOOL,Utah
4105,30,0,30,11999E,Rage Baiting Babies,Central Elementary School,Indiana - Region 2 - Central
4106,30,0,30,65837D,The Majestic Bananas,W M IRVIN ELEMENTARY,North Carolina
4107,30,0,30,90081B,Big & Brainy Squidwards,HOLBROOK SCHOOL,Utah
4108,30,0,30,36827B,Lincoln Lynx Y,LINCOLN SCHOOL,Utah
4109,30,0,30,65967E,Redhawks Robotics,MERLE SIDENER GIFTED ACADEMY,Indiana - Region 2 - Central
4110,30,0,30,49077C,RoboHawks,PRAIRIE TRACE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4111,30,0,30,12007E,Van Buren,VAN BUREN ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4112,30,0,30,91362E,The Kings,Westchester Intermediate School,Indiana - Region 1 - North
4113,30,0,30,11600C,Ge Robotics Club,Georgetown Elementary School,Delmarva
4114,30,0,30,53510H,Rocket Fuel Robotics,RIVERSIDE INTERMEDIATE,Indiana - Region 1 - North
4115,30,0,30,46788C,Croninger Crusaders,FRED H CRONINGER ELEMENTARY SCHOOL,Indiana - Region 1 - North
4116,30,0,30,12160D,Ranger Robots,Cedar Crest Intermediate School,Indiana - Region 3 - South
4117,30,0,30,6651B,Bigg Golden Gators,GATEWAY SCIENCE ACADEMY OF ST. LOUIS,Missouri
4118,30,0,30,46389A,Supreme Cardinal Builders,Kent Elementary,Texas - Region 5
4119,30,0,30,3703A,TBBB: The Best Breakfast Boys,Mountain Brook Machines-MBE,Alabama
4120,29,7,22,27261A,Deltona Dynamite Doves Team 1,DELTONA ELEMENTARY SCHOOL,Florida - North/Central
4121,29,9,20,1447B,The Nano Nerds,AVON GROVE INTRMD SCH,Pennsylvania - East
4122,29,6,23,96658A,Toast,LINCOLN ELEMENTARY,Washington
4123,29,6,23,16645B,The Kiwis,UNIVERSITY ELEMENTARY SCHOOL,Indiana - Region 3 - South
4124,29,4,25,21216A,Harmony,KIPP Harmony,Maryland
4125,29,4,25,91625D,Bob the Builders,SANDROCK ELEMENTARY,Colorado
4126,29,4,25,46836B,Robotic Wolves,SORRENTO ELEMENTARY,Florida - North/Central
4127,29,3,26,8562C,PEGASUS,CODHUB Monastir,Tunisia
4128,29,2,27,3105F,The Fantastic 4,FT CONCHO ELEMENTARY SCHOOL,Texas - Region 5
4129,29,2,27,62030C,Sycamore Lion Bots,Sycamore Elementary School,Tennessee
4130,29,2,27,16021B,Andersen Robotics - B,Andersen Elementary,Oklahoma
4131,29,0,29,1270A,Wenatchee Salmon,Wenatchee Valley Museum,Washington
4132,29,0,29,98420C,SISGLC3,SISGLC,South Korea
4133,29,0,29,295T,TriMangulators,Placer Robotics (PART),California - North
4134,29,0,29,46234C,Harney Robotics,HARNEY ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4135,29,0,29,6443B,The 5 Mustardteers,"The Barn, A Non-profit youth organization",Connecticut
4136,29,0,29,23023C,Perseverance Turtles,F.P. Tillman Elementary School,Missouri
4137,29,0,29,14159A,Tech Titans,RED DUKE ELEMENTARY SCHOOL,Texas - Region 3
4138,29,0,29,55310B,Benson B,BARBARA BENSON ELEMENTARY,California - South
4139,29,0,29,28918C,Solon Solvers,SOLON ROBINSON ELEMENTARY SCHOOL,Indiana - Region 1 - North
4140,29,0,29,70347E,Blue Devils 5,Van Buren Elementary School,Indiana - Region 2 - Central
4141,29,0,29,35950A,iCode Memorial Team A,iCode Memorial,Texas - Region 3
4142,29,0,29,95121E,Bombers,Grand Meadow Public School,Minnesota
4143,29,0,29,10989B,Rickety Robot,Alachua Elementary,Florida - North/Central
4144,29,0,29,81116A,81116A,Westchester Country Day School,North Carolina
4145,29,0,29,76240F,Fabulous 4,GAINESVILLE INT,Texas - Region 5
4146,29,0,29,1229A,Tillman Tiger,JAMES TILLMAN ELEMENTARY MAGNET SCHOOL,Florida - North/Central
4147,29,0,29,5354C,MTPS-C,港澳信義會明道小學,Hong Kong
4148,29,0,29,10851Z,We Tried,RIVERVIEW LUTHERAN SCHOOL,Wisconsin
4149,29,0,29,95100C,Mister Match,GREENFIELD INTERMEDIATE SCHOOL,Indiana - Region 2 - Central
4150,29,0,29,67052F,Challenger Foxtrot,CHALLENGER INTERMEDIATE SCHOOL,Kansas
4151,29,0,29,1445A,The Ender Kids,Karanko VEX Club,Japan
4152,29,0,29,1112S,SCI Sharks - Navy,Sand Creek Intermediate School,Indiana - Region 2 - Central
4153,29,0,29,7553M,6-7 Engineers,ICGC,Ohio
4154,29,0,29,3081B,Lincoln Eagles,LINCOLN ELEMENTARY SCHOOL,Indiana - Region 1 - North
4155,28,28,0,8815K,King Crown,朝晖小学&桐庐县实验小学&杭州惠立&杭州崇文小学,East China
4156,28,28,0,30355B,Jr.Trailblazers,Albireo Eğitim ve Danışmanlık Hizmetleri LTD.ŞTİ,Türkiye
4157,28,20,8,279B,Trailblazers,Trailblazer Robotics Juniors,Georgia
4158,28,9,19,18990C,Mulkey C,MULKEY ELEMENTARY SCHOOL,Alabama
4159,28,7,21,11086C,Cybercat Knights,SUMMIT SCHOOL OF AHWATUKEE,Arizona
4160,28,7,21,46291B,Programme Lime and Lemon,Earlsdon Primary School,United Kingdom
4161,28,7,21,86273B,Thundercloud Dogs,Carpenter Community Charter,California - South
4162,28,0,28,7899C,Rolling Robots,Rolling Robots,California - South
4163,28,7,21,90241B,Team Rocket,RIO HONDO ELEMENTARY,California - South
4164,28,7,21,62989E,The RoboRaptors,EMMA K. DOUB ELEMENTARY,Maryland
4165,28,4,24,1976C,Mickey-Mouse-Club-House,CARVER Washington MAGNET ELEMENTARY SCHOOL,Arkansas
4166,28,4,24,36022A,RoboDAWGS,PINE LEVEL ELEMENTARY SCHOOL,Alabama
4167,28,4,24,2972C,The Black Cobra,BEAUREGARD ELEMENTARY SCHOOL,Alabama
4168,28,2,26,58073G,The Robots,WASHINGTON ELEMENTARY SCHOOL,North Dakota
4169,28,4,24,27752E,Guardians of the Brownies!,FOSTER DUAL LANGUAGE PK-8,Colorado
4170,28,2,26,3482B,Battle Beans,POINT HARMONY ELEMENTARY SCHOOL,West Virginia
4171,28,0,28,15486C,Vista Voyagers,VISTA SCHOOL,Utah
4172,28,0,28,48893A,BMO Bots,LEWIS & CLARK ELEMENTARY SCHOOL,Iowa
4173,28,0,28,815B,Strawberry Foxes,MARGARET S MCWHIRTER ELEMENTARY SCHOOL,Texas - Region 3
4174,28,0,28,838F,F-15 Fighters,Blaze Robotics Academy,Washington
4175,28,0,28,84570A,The Banyan Blasters,Out-of-Door Academy,Florida - North/Central
4176,28,0,28,41047C,Droid Screaming Perfect,MOUNTAIN VIEW SCHOOL,Utah
4177,28,0,28,6054A,Mustangs1,LAKE AGASSIZ ELEMENTARY SCHOOL,North Dakota
4178,28,2,26,61251A,PPE Owlbots,Plantation Park Elementary School,Florida - South
4179,28,2,26,1174B,The Lion Rulers,Kaino LLC,Hawaii
4180,28,2,26,42664A,Belgooly,"Scoil Mhuire na nGrást, ",Ireland
4181,28,2,26,29582A,The Final Five Alive!,CHAPARRAL ELEMENTARY SCHOOL,Arizona
4182,28,2,26,86273F,Wandering Waffles,Carpenter Community Charter,California - South
4183,28,0,28,80491D,Robot Mayhem,RED HAWK ELEMENTARY,Colorado
4184,28,0,28,9087B,PVS robotics club Beta,Pioneer Village School,Australia
4185,28,0,28,99349C,WADK - We Actually Don't Know,MORRIS SCHOTT ELEMENTARY,Washington
4186,28,0,28,4514D,4514D Hossiers,Decatur High Ability Academy,Indiana - Region 2 - Central
4187,28,0,28,19702A,Blue Bubble Guppies,JIMENEZ ROBERTO AND DR. FRANCISCO ELEMENTARY,California - South
4188,28,0,28,95224G,Ges Robotics,Gulf English school,Kuwait
4189,28,0,28,73507F,Les Molécules infernales,nooby.tech,Belgium
4190,28,0,28,81625M,MOCO Robo,Ridgeview Robotics,Colorado
4191,28,0,28,23255B,Dommerich B,Dommerich Elementary School,Florida - North/Central
4192,28,0,28,91625A,Bulldog Builders,SANDROCK ELEMENTARY,Colorado
4193,28,0,28,11924B,SES Spark Seekers,SOUTHWOOD ELEMENTARY SCHOOL,Indiana - Region 1 - North
4194,28,0,28,78382A,MSGL Upper Elementary,"WonderLand Education, Inc",Indiana - Region 1 - North
4195,28,0,28,30410P,The Legendary P's,St. Johnsbury Academy Jeju,South Korea
4196,28,0,28,54321A,extreme coders,SafeNet Academy,Indiana - Region 2 - Central
4197,28,0,28,14572K,Nova,K robotics,South Korea
4198,28,0,28,25595E,St Vinnies 5,St Vincent's Primary School,Australia
4199,28,0,28,25595D,St Vinnies 4,St Vincent's Primary School,Australia
4200,28,0,28,57418H,Vexbots,Burke Robots,Virginia
4201,28,0,28,46702B,Andrews Cardinals,ANDREWS ELEMENTARY SCHOOL,Indiana - Region 1 - North
4202,28,0,28,40022B,LCE Team 1,Liberty Creek Elementary School,Tennessee
4203,28,0,28,37064B,Creekside Otter Robotics,CREEKSIDE ELEMENTARY SCHOOL,Tennessee
4204,28,0,28,41090B,SBE Starbots: 41090B,SETTLES BRIDGE ELEMENTARY SCHOOL,Georgia
4205,28,0,28,8192B,Wrecking Bots,Wrecking Bots,California - North
4206,28,0,28,1510W,Future Forge Galileo,Future Forge STEM Labs,California - North
4207,28,0,28,3333A,Girl Power,Notre Dame Prep,Michigan
4208,28,0,28,384B,Robee 2,CREATIVE CITY PUBLIC CHARTER SCHOOL,Maryland
4209,28,0,28,39605B,Eagle Bots B,Stella Hills Elementary,California - South
4210,28,0,28,3075E,The Cookie Clan,OAKLAND CHRISTIAN SCHOOL,Michigan
4211,28,0,28,7479P,Southern Echidnas,Hillcrest Christian College,Australia
4212,28,0,28,1112B,SCI Sharks - Green,Sand Creek Intermediate School,Indiana - Region 2 - Central
4213,28,0,28,34188A,FCG-Inventors,FPT CAU GIAY PRIMARY AND SECONDARY SCHOOL,Vietnam
4214,28,0,28,824D,Ross Elementary,James H Ross Elementary School,Texas - Region 3
4215,28,0,28,290P,Pin Agents,Orley Farm School,United Kingdom
4216,28,0,28,10692D,Future Bots,GEORGE W. WHITLOW ELEMENTARY,Georgia
4217,28,0,28,820A,TimberBOTS CGMR,WEDGEWOOD ELEMENTARY SCHOOL,Texas - Region 3
4218,28,0,28,50869A,The Genizuz Kidz,J.I. BARRON SR. ELEMENTARY SCHOOL,Louisiana
4219,28,0,28,12937E,KCIS Robotics,KCIS,South Korea
4220,28,0,28,13221A,LMS RoboTeam A,Lei Muk Shue Catholic Primary School,Hong Kong
4221,28,0,28,71667D,The Little Robos,Brown Elementary School,Arkansas
4222,28,0,28,384C,Robee 3,CREATIVE CITY PUBLIC CHARTER SCHOOL,Maryland
4223,28,0,28,604A,Liberty 604A,LIBERTY ELEMENTARY,California - South
4224,28,0,28,62746B,Robo Rangers,CORAL ACADEMY OF SCIENCE LAS VEGAS TAMARUS,Nevada
4225,28,0,28,52526M,The 3-Wheelers,Cumming Elementary Robotics,Georgia
4226,28,0,28,68671E,Doom Devils,DANVILLE ELEMENTARY SCHOOL,Ohio
4227,28,0,28,62746A,Lightning Bots,CORAL ACADEMY OF SCIENCE LAS VEGAS TAMARUS,Nevada
4228,28,0,28,99317A,Clifty Creek Robotics,CLIFTY CREEK ELEMENTARY SCHOOL,Indiana - Region 3 - South
4229,28,0,28,27638A,Rockcreek Tech Dogs,ROCKCREEK ELEMENTARY SCHOOL,Indiana - Region 3 - South
4230,28,0,28,50845A,Minions,LEMONS MILL ELEMENTARY SCHOOL,Kentucky
4231,28,0,28,31114A,Brown Elementary Robotics,BROWN  HANNAH MARIE ELEMENTARY SCHOOL,Nevada
4232,28,0,28,21544D,Selma Brave Bots D,SELMA ELEMENTARY SCHOOL,Indiana - Region 1 - North
4233,28,0,28,82005A,Saint Mura's NS A,"St Mura's NS, Tooban",Ireland
4234,28,0,28,4514C,4514C Team No Name?,Decatur High Ability Academy,Indiana - Region 2 - Central
4235,28,0,28,6311A,Trojan Coders,NORTH STEWART ELEMENTARY,Tennessee
4236,28,0,28,71410C,Fire Boots,Falkon Academy,California - North
4237,28,0,28,46768C,Highfliers 2,Fort Bend Christian Academy,Texas - Region 3
4238,28,0,28,40022W,LCE Team 2,Liberty Creek Elementary School,Tennessee
4239,28,0,28,3302A,CrestwoodA,Crestwood Street Elementary School,California - South
4240,28,0,28,90050A,Galaxy Builders ,HALLDALE ELEMENTARY,California - South
4241,28,0,28,53510X,Rocket Fuel Robotics,RIVERSIDE INTERMEDIATE,Indiana - Region 1 - North
4242,28,0,28,85301B,Donut Engineers,The International School of Macao,Macau
4243,28,0,28,50256A,The Dolphins,Loreto Street Elementary School,California - South
4244,28,0,28,295V,Roadrunners,Placer Robotics (PART),California - North
4245,28,0,28,7890D,The Bull Sharks,Minneola Horizon Academy (Elementary),Florida - North/Central
4246,28,0,28,11921C,Spicy Salsa,SUGAR CREEK ELEMENTARY SCH,Indiana - Region 2 - Central
4247,28,0,28,86044B,Botcats,Crestview Elementary School,Indiana - Region 2 - Central
4248,28,0,28,14581D,The Stop Watchers,Charlotte Public Schools,Michigan
4249,28,0,28,205A,Mr. Bananas,Century Park Learning Center,Michigan
4250,28,0,28,61851A,Holloway EagleBots,Holloway Elementary School,Alabama
4251,28,0,28,13545A,Stedman Knights,Stedman Elementary ,Colorado
4252,28,0,28,19813D,100 % Brains,EAGLE BAY SCHOOL,Utah
4253,28,0,28,17801V,Robo Rangers,GARDEN LAKES ELEMENTARY SCHOOL,Arizona
4254,28,0,28,29843B,Super Hummingbirds,PANORAMA CITY ELEMENTARY,California - South
4255,28,0,28,17151T,Stack Attackers,KENNETH T BEAGLE  MIDDLE SCHOOL,Michigan
4256,28,0,28,83660A,Husky Bots A,HORACE MANN ELEMENTARY,Indiana - Region 1 - North
4257,28,0,28,56549C,Where 'dem Waldos at,HAWLEY SECONDARY,Minnesota
4258,28,0,28,93455A,Sonic,BRUCE (ROBERT) ELEMENTARY,California - South
4259,28,0,28,8891A,EDUBUS Team A,EDUBUS,California - South
4260,28,0,28,21454D,RoboStars - Star View Team 4,STAR VIEW ELEMENTARY,California - South
4261,28,0,28,53459B,Sharks N Gears,PEARL HARBOR KAI ELEMENTARY SCHOOL,Hawaii
4262,28,0,28,44224B,Robo-Wizards B,MAIN STREET ELEMENTARY,California - South
4263,28,0,28,6605C,Campbell Robotics,CAMPBELL ELEMENTARY SCHOOL,Texas - Region 3
4264,28,0,28,97255B,Our Lady's Meadow,"Our Lady's Meadow NS, Durrow",Ireland
4265,28,0,28,11924A,SES Danger Bots,SOUTHWOOD ELEMENTARY SCHOOL,Indiana - Region 1 - North
4266,28,0,28,79129A,Songdo Vegapunks,American STEM Prep Songdo,South Korea
4267,28,0,28,10459E,The TEST Pilots,Skiles Test Elementary School,Indiana - Region 2 - Central
4268,28,0,28,22330A,Wreck it Lions,BRINDLEE MOUNTAIN ELEMENTARY SCHOOL,Alabama
4269,28,0,28,89308J,Battlebots,MOUNTAIN VIEW ELEMENTARY SCHOOL,Colorado
4270,28,0,28,9975W,St. Luke's Episcopal - The Neon Marshmallows,ST LUKES EPISCOPAL SCHOOL,Texas - Region 4
4271,28,0,28,5104C,Cyber Squad,DELLVIEW ELEMENTARY SCHOOL,Texas - Region 4
4272,28,0,28,11216A,Ultra Chicken Nuggets,COLUMBINE ELEMENTARY SCHOOL,Colorado
4273,28,0,28,2005D,The Flying Toasters,ALPINE ELEMENTARY SCHOOL,Colorado
4274,28,0,28,5127B,Bronco Bots,NORTHERN HILLS ELEMENTARY SCHOOL,Texas - Region 4
4275,28,0,28,91384A,WOWO'S ECA Eagles,ELKHART CHRISTIAN ACADEMY,Indiana - Region 1 - North
4276,28,0,28,18189E,Bot Broz,Mt. Carmel Elementary School,Indiana - Region 3 - South
4277,28,0,28,65200B,Rambotica,MILTON ELEMENTARY SCHOOL,New Hampshire/Vermont
4278,28,0,28,84855G,Heavenly Hackers,ST BARNABAS SCHOOL,Indiana - Region 2 - Central
4279,28,0,28,52525C,T.I.T.A.N.,SOUTHEAST FOUNTAIN ELEMENTARY,Indiana - Region 1 - North
4280,28,0,28,44106A,Beulah Bots,BEULAH ELEMENTARY SCHOOL,Alabama
4281,28,0,28,35117A,Mt. Olive Panthers Team 1,MOUNT OLIVE ELEMENTARY SCHOOL,Alabama
4282,28,0,28,3214E,Southland BrainBots,SOUTHLAND ELEMENTARY,Minnesota
4283,28,0,28,46250B,Allisonville Robotics Team 2,ALLISONVILLE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4284,28,0,28,78987A,78987A,BAYSHORE ELEMENTARY SCHOOL,Florida - North/Central
4285,28,0,28,6039S,67 Squad,BrandywineBOTS Robotics,Delmarva
4286,28,0,28,28240A,Raining Flame,SOUTH SMITHS STATION ELEMENTARY SCHOOL,Alabama
4287,28,0,28,3265D,Robey Rockets- Delta,ROBEY ELEMENTARY SCHOOL,Indiana - Region 2 - Central
4288,28,0,28,81116B,81116B,Westchester Country Day School,North Carolina
4289,28,0,28,83384B,Seahawks ,Norman S Edelcup Sunny Isles Beach K-8,Florida - South
4290,28,0,28,66800B,FDE 2,FOUNTAINDALE ELEMENTARY,Maryland
