Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
2058,63,18,45,6510D,Once upon a Duck,"Pymble Ladies College, Sydney, Australia",Australia
2059,63,17,46,2060G,The Bbbbbingo Boys,Oakestown Intermediate School,Michigan
2060,63,17,46,5109A,Northwood Metal Maniacs,NORTHWOOD ELEMENTARY,Texas - Region 4
2061,63,10,53,49131G,The Brain Bros,NORTH CLARION CO ELEMENTARY SCHOOL SCH,Pennsylvania - West
2062,63,7,56,99663D,The Blazing Racoons,Steam Labs Technology and Robotics Studio,Thailand
2063,63,9,54,18493D,Santa Rita Elementary,SANTA RITA ELEMENTARY SCHOOL,Texas - Region 5
2064,63,8,55,4140V,The Techies,St. Paul's Lutheran School,Wisconsin
2065,63,0,63,38677B,BurgerBots,ROBERT F HUNT ELEMENTARY SCHOOL,Texas - Region 2
2066,63,7,56,35057A,Robot Raiders (35057A),GOOD HOPE ELEMENTARY SCHOOL,Alabama
2067,63,7,56,78682K,DynamicDolphinBots 78682 K,DAVES CREEK ELEMENTARY SCHOOL,Georgia
2068,63,7,56,3075A,Mixed Up Robots,OAKLAND CHRISTIAN SCHOOL,Michigan
2069,63,7,56,77147A,Goated Robots,INTERNATIONAL STUDIES MAGNET,Arkansas
2070,63,7,56,94329E,VEXers,BOUNTIFUL SCHOOL,Utah
2071,63,7,56,99910P,Team Pikachu,FORTVILLE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
2072,63,7,56,81625Z,High Stackers,Ridgeview Robotics,Colorado
2073,63,7,56,8297A,Mighty Tiny Hamburglars,Holz Elementary School,West Virginia
2074,63,4,59,7711Z,Boone Meadow,BOONE MEADOW,Indiana - Region 2 - Central
2075,63,4,59,43920K,Potterbots: The Cyberbots,WESTGATE MIDDLE SCHOOL,Ohio
2076,63,0,63,6403S,Banana Squad The Last Stand,Brookside Intermediate School,Ohio
2077,63,2,61,63165H,TBD,KRAFT MEADOWS INTERMEDIATE SCHOOL,Michigan
2078,63,0,63,37712T,Tiny Dinos,Bixby East,Oklahoma
2079,63,0,63,814C,LCE,LEAGUE CITY ELEMENTARY SCHOOL,Texas - Region 3
2080,63,0,63,9290B,Sparks ES- Ravaging Robots,Sparks Elementary School,Maryland
2081,63,0,63,42031C,Panda Pounders,Westwood Elementary School,Minnesota
2082,63,0,63,19800E,Yellow Bananas,BOULTON SCHOOL,Utah
2083,63,0,63,3988E,Team Banana,Irvine Robotics,California - South
2084,63,0,63,138R,QRCA - Ruby,AAA Training and Tuition (RTO 46396),Australia
2085,63,0,63,807E,The Storms,DARWIN L GILMORE ELEMENTARY SCHOOL,Texas - Region 3
2086,63,0,63,1645C,Team Cheam,Cheam School Design & Technology,United Kingdom
2087,63,0,63,95950A,Hydrabots,GJ Mann,New York-North
2088,63,0,63,17023B,卡皮巴拉,Happy Robot,Chinese Taipei
2089,63,0,63,58508G,The Haarsma Gators,Blair-taylor Middle/high School,Wisconsin
2090,63,0,63,4318A,Galileo,Creativity Private School - Bahrain,Bahrain
2091,63,0,63,28507B,BLTs,Mt. Vernon Intermediate School,Indiana - Region 2 - Central
2092,63,0,63,92964C,AstroBots,Harmony School of Science,Texas - Region 1
2093,63,0,63,97265C,West Clay WolfBots - Black,WEST CLAY ELEMENTARY SCHOOL,Indiana - Region 2 - Central
2094,63,0,63,51172A,BrickBattlers (BattleCats A),LOST LAKE ELEMENTARY SCHOOL,Florida - North/Central
2095,63,0,63,46706D,Bell Bots,Bell Intermediate Academy,Indiana - Region 2 - Central
2096,63,0,63,26547B,Coyotes B,COVINGTON ELEMENTARY SCHOOL,Indiana - Region 1 - North
2097,63,0,63,26547A,Coyotes A,COVINGTON ELEMENTARY SCHOOL,Indiana - Region 1 - North
2098,63,0,63,12410A,Prince and the Guardians,HARMON MIDDLE SCHOOL,Ohio
2099,63,0,63,69433C,RoboCougars,NORTON ELEMENTARY,Kentucky
2100,62,62,0,99968S,99968,北京昇元信奥国际教育科技有限公司,North China
2101,62,36,26,7458B,The Oranges,Fisher Elementary School,Minnesota
2102,62,27,35,1993S,Galloway Robo-Owls,The Galloway School,Texas - Region 3
2103,62,22,40,43078A,Ballyvary NS,Ballyvary Central National School,Ireland
2104,62,17,45,17401A,PCS Tech Bobcats,Presbyterian Christian School,Mississippi
2105,62,17,45,34107G,The Odd Squad,ST JOSEPH GRADE SCHOOL,West Virginia
2106,62,17,45,12171G,Gator CHOMPions,BLUE LAKE ELEMENTARY SCHOOL,Florida - South
2107,62,17,45,95196B,Team Sea Kings,PASS ROAD ELEMENTARY SCHOOL,Mississippi
2108,62,9,53,20762B,The InvestiGators,Guion Creek Elementary School,Indiana - Region 2 - Central
2109,62,17,45,61187B,AR: The Banana Splits,OAKWOOD INTERMEDIATE,Michigan
2110,62,14,48,21025D,Winfield RoboCats: Blue Electric Clawz,WINFIELD ELEMENTARY SCHOOL,Indiana - Region 1 - North
2111,62,13,49,9340J,Purple Ninjas,Harvey Elementary School,Florida - North/Central
2112,62,6,56,59713G,The Legends,MERCER ELEMENTARY,West Virginia
2113,62,9,53,331Y,The King Bobs,ROBERT WILLIS ELEMENTARY SCHOOL,Florida - North/Central
2114,62,7,55,31890B,Robo Huskies,Dr. Thomas L. Higdon Elementary School ,Maryland
2115,62,0,62,49301B,Robo Dragons,ADA CHRISTIAN SCHOOL,Michigan
2116,62,6,56,9340H,Brain Teasers,Harvey Elementary School,Florida - North/Central
